209895;/player/209895/matthew-acton/230009;23;9;2023-01-13 00:00:00.0;M. Acton;Matthew Acton;GK;61;61;220000;1000;30;1992-06-03 00:00:00.0;184;185;351;111397;Melbourne Victory;SUB;1;null;2016-11-25 00:00:00.0;2023;195;Australia;null;null;null;Right;2;1;1;Medium/Medium;Normal (170-185);No;275000;null;null;null;null;null;null;null;null;20;19;19;26;11;19;20;18;25;18;40;40;38;51;41;44;59;25;58;18;18;25;20;11;27;58;16;19;19;63;61;59;58;63;40;28+2;28+2;28+2;25;25;25;25;25;23+2;23+2;23+2;25+2;23+2;23+2;23+2;25+2;26+2;25+2;25+2;25+2;26+2;26+2;27+2;27+2;27+2;26+2;60+1;https://cdn.sofifa.net/players/209/895/23_120.png
213868;/player/213868/jean-charles-castelletto/230009;23;9;2023-01-13 00:00:00.0;J. Castelletto;Jean-Charles Castelletto;CB;74;75;4200000;20000;27;1995-01-26 00:00:00.0;186;78;16;71;Nantes;RCB;21;null;2020-07-01 00:00:00.0;2026;103;Cameroon;null;null;null;Right;2;2;1;Low/Medium;Lean (185+);No;8700000;null;null;68;30;51;61;74;75;47;18;78;63;32;57;49;23;57;67;69;67;63;68;46;50;87;71;75;26;76;74;56;36;36;59;73;74;73;12;14;14;14;9;null;54+2;54+2;54+2;54;54;54;54;54;54+2;54+2;54+2;57+2;58+2;58+2;58+2;57+2;67+2;68+2;68+2;68+2;67+2;69+2;74+1;74+1;74+1;69+2;18+2;https://cdn.sofifa.net/players/213/868/23_120.png
210452;/player/210452/diego-tonetto/160019;16;19;2016-01-07 00:00:00.0;D. Tonetto;Diego Rubén Tonetto;LW;65;66;600000;4000;26;1988-12-05 00:00:00.0;176;66;353;111710;Defensa y Justicia;LM;3;null;2015-01-10 00:00:00.0;2016;52;Argentina;null;null;null;Left;3;3;1;Medium/Medium;Lean (170-185);No;null;null;Long Shot Taker (AI);69;62;66;68;38;47;72;52;44;62;68;67;72;74;71;68;71;68;71;59;72;72;44;53;47;71;41;47;57;62;66;null;33;35;34;10;7;10;13;12;null;60;60;60;65;63;63;63;65;64;64;64;64;61;61;61;64;54;52;52;52;54;52;44;44;44;52;16;https://cdn.sofifa.net/players/210/452/16_120.png
257951;/player/257951/maxime-thiel/210064;21;64;2021-09-25 00:00:00.0;M. Thiel;Maxime Thiel;CB, LB, CDM;58;72;450000;650;18;2001-08-06 00:00:00.0;187;75;4;15005;Zulte-Waregem;RES;65;null;2018-07-01 00:00:00.0;2022;7;Belgium;null;null;null;Left;2;2;1;Medium/Medium;Lean (185+);No;934000;null;null;59;22;39;50;57;67;32;17;58;47;22;49;35;19;44;53;56;61;46;43;56;35;61;62;71;21;66;55;13;36;24;45;53;61;59;9;7;9;9;13;null;38+2;38+2;38+2;40;39;39;39;40;41+2;41+2;41+2;43+2;44+2;44+2;44+2;43+2;52+2;53+2;53+2;53+2;52+2;53+2;58+2;58+2;58+2;53+2;13+2;https://cdn.sofifa.net/players/257/951/21_120.png
242483;/player/242483/david-montoya/190041;19;41;2019-02-28 00:00:00.0;D. Montoya;David Montoya Henao;LB, RB;62;69;350000;500;22;1995-09-01 00:00:00.0;181;71;336;112970;Leones FC;RB;26;null;2014-01-01 00:00:00.0;2021;56;Colombia;null;null;null;Right;3;2;1;Medium/Medium;Normal (170-185);No;543000;null;null;72;28;43;49;63;65;48;24;51;49;21;42;20;28;41;51;74;70;60;55;69;40;66;77;58;19;65;62;45;37;36;47;68;62;60;14;12;11;9;8;null;45+1;45+1;45+1;47;45;45;45;47;45+1;45+1;45+1;50+1;48+1;48+1;48+1;50+1;59+1;57+1;57+1;57+1;59+1;61+1;60+1;60+1;60+1;61+1;16+1;https://cdn.sofifa.net/players/242/483/19_120.png
177448;/player/177448/gustav-svensson/230009;23;9;2023-01-13 00:00:00.0;G. Svensson;Gustav Svensson;CDM, CM;69;69;400000;2000;35;1987-02-07 00:00:00.0;184;77;56;319;IFK Göteborg;CM;13;null;2021-07-22 00:00:00.0;2023;46;Sweden;null;null;null;Right;2;3;1;Low/High;Normal (170-185);Yes;500000;null;Dives Into Tackles (AI);35;46;59;62;69;77;49;36;65;65;45;62;55;33;65;64;37;34;47;68;59;65;71;74;80;47;75;68;50;62;45;67;69;71;70;15;12;11;16;6;null;55+2;55+2;55+2;54;56;56;56;54;57+2;57+2;57+2;57+2;63+2;63+2;63+2;57+2;63+2;68+1;68+1;68+1;63+2;63+2;69;69;69;63+2;18+2;https://cdn.sofifa.net/players/177/448/23_120.png
268456;/player/268456/enrique-taborga/230008;23;8;2022-12-17 00:00:00.0;E. Taborga;Enrique Taborga;LB, LM;63;70;900000;500;20;2002-04-03 00:00:00.0;178;66;2017;114577;Always Ready;SUB;15;null;2022-01-01 00:00:00.0;2023;53;Bolivia;null;null;null;Left;3;3;1;Medium/Medium;Normal (170-185);No;2100000;null;null;71;45;56;60;58;63;60;44;60;58;40;58;55;33;55;63;70;72;61;57;67;46;71;73;60;45;55;53;58;55;41;56;56;63;59;12;11;6;7;14;null;55+2;55+2;55+2;58;57;57;57;58;58+2;58+2;58+2;60+2;58+2;58+2;58+2;60+2;61+2;59+2;59+2;59+2;61+2;61+2;59+2;59+2;59+2;61+2;16+2;https://cdn.sofifa.net/players/268/456/23_120.png
183499;/player/183499/yaw-ihle-amankwah/220036;22;36;2022-03-01 00:00:00.0;Y. Amankwah;Yaw Ihle Amankwah;CB;65;65;475000;1000;32;1988-07-07 00:00:00.0;194;92;41;917;Stabæk;CB;3;null;2019-08-01 00:00:00.0;2022;36;Norway;null;null;null;Right;3;2;1;Low/High;Stocky (185+);No;594000;#Strength;Leadership, Power Header, Team Player;33;34;37;40;64;80;32;25;65;46;15;29;17;16;43;52;34;32;33;66;32;68;81;67;90;25;70;62;48;30;24;58;64;64;62;10;10;8;15;14;null;47+2;47+2;47+2;38;42;42;42;38;40+2;40+2;40+2;41+2;47+2;47+2;47+2;41+2;53+2;58+2;58+2;58+2;53+2;55+2;65;65;65;55+2;18+2;https://cdn.sofifa.net/players/183/499/22_120.png
255022;/player/255022/davinson-jama/210026;21;26;2021-02-05 00:00:00.0;D. Jama;Davinson Alexander Jama Guzmán;RW, LW;63;71;1100000;500;21;1998-10-10 00:00:00.0;177;75;2018;110986;LDU Quito;SUB;16;null;2021-01-07 00:00:00.0;2021;57;Ecuador;null;null;null;Right;3;3;1;High/Low;Normal (170-185);No;2600000;null;Flair;72;53;57;67;25;51;62;55;36;68;46;71;44;34;39;63;70;73;56;58;73;58;37;56;57;43;33;23;60;55;51;48;24;26;21;12;10;7;13;10;null;58+2;58+2;58+2;63;61;61;61;63;61+2;61+2;61+2;63+2;54+2;54+2;54+2;63+2;48+2;43+2;43+2;43+2;48+2;44+2;36+2;36+2;36+2;44+2;16+2;https://cdn.sofifa.net/players/255/022/21_120.png
261562;/player/261562/carlos-torres/220024;22;24;2022-01-13 00:00:00.0;C. Torres;Carlos Salvador Torres Córdova;GK;59;66;400000;500;21;2000-06-12 00:00:00.0;180;77;2020;114511;Sport Huancayo;SUB;31;null;2021-02-01 00:00:00.0;2022;59;Peru;null;null;null;Right;2;1;1;Medium/Medium;Normal (170-185);No;940000;null;null;null;null;null;null;null;null;15;6;13;28;7;13;12;15;23;12;33;33;25;50;50;41;65;29;55;7;28;8;6;38;13;27;7;15;15;58;60;55;58;61;33;21+2;21+2;21+2;20;21;21;21;20;22+2;22+2;22+2;22+2;23+2;23+2;23+2;22+2;21+2;22+2;22+2;22+2;21+2;20+2;22+2;22+2;22+2;20+2;58+2;https://cdn.sofifa.net/players/261/562/22_120.png
189445;/player/189445/miroslav-markovic/180084;18;84;2018-09-12 00:00:00.0;M. Marković;Miroslav Marković;ST;68;68;950000;15000;27;1989-11-04 00:00:00.0;184;79;67;110101;SKA Khabarovsk;ST;11;null;2017-08-05 00:00:00.0;2020;51;Serbia;null;null;null;Right;3;2;1;High/Low;Normal (170-185);No;1500000;null;Backs Into Player, Target Forward;70;65;52;66;52;74;52;70;75;55;60;66;47;50;60;62;67;73;80;62;73;56;68;67;83;62;63;45;71;42;72;60;50;52;49;7;14;12;14;16;null;67+1;67+1;67+1;63;63;63;63;63;61+1;61+1;61+1;62+1;58+1;58+1;58+1;62+1;57+1;56+1;56+1;56+1;57+1;57+1;59+1;59+1;59+1;57+1;18+1;https://cdn.sofifa.net/players/189/445/18_120.png
269352;/player/269352/masimiliano-doda/230009;23;9;2023-01-13 00:00:00.0;M. Doda;Masimiliano Doda;RM, RB, RWB;57;67;375000;650;21;2000-11-17 00:00:00.0;180;78;32;1843;Palermo;SUB;23;null;2019-08-10 00:00:00.0;2024;1;Albania;null;null;null;Right;3;2;1;High/High;Normal (170-185);No;656000;null;Speed Dribbler (AI);74;39;50;59;51;59;54;35;49;51;32;61;42;40;47;54;75;73;66;52;69;47;56;63;60;40;53;49;48;52;42;46;47;55;55;6;6;9;7;9;null;50+2;50+2;50+2;55;52;52;52;55;53+2;53+2;53+2;56+2;52+2;52+2;52+2;56+2;56+2;52+2;52+2;52+2;56+2;56+2;53+2;53+2;53+2;56+2;12+2;https://cdn.sofifa.net/players/269/352/23_120.png
189433;/player/189433/benjamin-hubner/230008;23;8;2022-12-17 00:00:00.0;B. Hübner;Benjamin Hübner;CB;75;75;3600000;28000;32;1989-07-04 00:00:00.0;193;86;19;10029;TSG Hoffenheim;SUB;21;null;2016-07-01 00:00:00.0;2023;21;Germany;null;null;null;Left;2;2;2;Low/Medium;Normal (185+);Yes;6100000;null;Injury Prone, Long Passer (AI);38;33;55;57;78;67;47;25;80;63;45;58;40;42;64;59;42;34;34;74;46;52;61;34;80;22;76;78;41;51;50;71;79;78;77;16;8;7;8;16;null;51+2;51+2;51+2;49;50;50;50;49;52+2;52+2;52+2;51+2;58+2;58+2;58+2;51+2;62+2;69+2;69+2;69+2;62+2;64+2;75;75;75;64+2;19+2;https://cdn.sofifa.net/players/189/433/23_120.png
250948;/player/250948/maximilian-franzke/230009;23;9;2023-01-13 00:00:00.0;M. Franzke;Maximilian Franzke;RW;61;68;650000;2000;23;1999-03-05 00:00:00.0;184;71;20;110588;Magdeburg;RES;14;null;2021-06-11 00:00:00.0;2024;21;Germany;null;null;null;Right;4;3;1;Medium/Medium;Lean (170-185);No;1100000;null;Injury Prone, Flair;76;51;56;64;27;56;62;57;56;58;35;65;45;42;53;64;75;76;69;54;72;51;66;62;57;44;43;24;50;56;47;52;19;26;27;8;8;9;9;8;null;57+2;57+2;57+2;61;59;59;59;61;59+2;59+2;59+2;61+2;54+2;54+2;54+2;61+2;48+2;44+2;44+2;44+2;48+2;46+2;39+2;39+2;39+2;46+2;13+2;https://cdn.sofifa.net/players/250/948/23_120.png
170165;/player/170165/shane-redmond/150001;15;1;2014-08-29 00:00:00.0;S. Redmond;Shane Redmond;GK;49;54;30000;2000;25;1989-03-23 00:00:00.0;188;81;65;838;Bray Wanderers;SUB;1;null;2013-07-07 00:00:00.0;2014;25;Republic of Ireland;null;null;null;Right;3;1;1;Medium/Medium;Stocky (185+);No;null;null;null;null;null;null;null;null;null;25;25;25;25;25;25;25;25;25;21;35;43;58;51;58;35;65;43;62;25;45;22;25;25;25;null;25;25;25;44;50;49;50;52;39;31;31;31;29;29;29;29;29;29;29;29;30;28;28;28;30;30;31;31;31;30;30;33;33;33;30;49;https://cdn.sofifa.net/players/170/165/15_120.png
177457;/player/177457/lars-bender/210049;21;49;2021-07-07 00:00:00.0;L. Bender;Lars Bender;RB, CDM, CM;79;79;12500000;59000;31;1989-04-27 00:00:00.0;185;78;19;32;Bayer 04 Leverkusen;SUB;8;null;2009-08-18 00:00:00.0;2021;21;Germany;null;null;null;Right;3;2;3;Medium/High;Lean (185+);Yes;21300000;null;Injury Prone, Leadership, Team Player;60;64;72;72;82;75;71;58;78;77;57;71;49;47;74;75;62;59;64;79;64;74;75;73;76;71;77;82;69;74;52;82;83;82;81;12;6;7;12;7;null;70+3;70+3;70+3;70;71;71;71;70;72+3;72+3;72+3;71+3;75+3;75+3;75+3;71+3;76+3;78+1;78+1;78+1;76+3;76+3;79;79;79;76+3;17+3;https://cdn.sofifa.net/players/177/457/21_120.png
255116;/player/255116/salvador-manriquez/210064;21;64;2021-09-25 00:00:00.0;S. Manríquez;Salvador Manríquez Frías;LB;59;69;475000;2000;20;2000-05-07 00:00:00.0;185;68;341;111678;Tijuana;SUB;10;null;2021-01-09 00:00:00.0;2021;83;Mexico;null;null;null;Left;3;2;1;Medium/High;Lean (185+);No;903000;null;null;63;31;39;55;61;55;61;31;49;33;31;65;33;38;28;43;61;64;48;52;53;27;60;60;51;29;57;57;54;37;41;43;60;66;66;14;10;9;6;5;null;45+2;45+2;45+2;49;46;46;46;49;44+2;44+2;44+2;50+2;44+2;44+2;44+2;50+2;57+2;50+2;50+2;50+2;57+2;57+2;57+2;57+2;57+2;57+2;14+2;https://cdn.sofifa.net/players/255/116/21_120.png
207828;/player/207828/cole-stockton/230009;23;9;2023-01-13 00:00:00.0;C. Stockton;Cole John Stockton;ST;66;66;875000;3000;28;1994-03-13 00:00:00.0;186;75;60;357;Morecambe;RS;9;null;2019-07-01 00:00:00.0;2023;14;England;null;null;null;Right;3;2;1;Medium/Low;Normal (185+);No;1500000;null;Long Shot Taker (AI);68;67;52;63;33;79;41;65;65;55;68;61;52;57;49;62;67;69;65;66;72;72;87;82;81;66;68;25;69;59;58;65;32;34;12;15;16;12;12;11;null;66;66;66;61;64;64;64;61;62+2;62+2;62+2;61+2;58+2;58+2;58+2;61+2;47+2;48+2;48+2;48+2;47+2;45+2;47+2;47+2;47+2;45+2;19+2;https://cdn.sofifa.net/players/207/828/23_120.png
243186;/player/243186/ilya-gilyazutdinov/180073;18;73;2018-05-31 00:00:00.0;I. Gilyazutdinov;Ilya Gilyazutdinov;RW;56;64;130000;4000;19;1998-01-08 00:00:00.0;179;75;67;110227;Rubin Kazan;SUB;90;null;2016-01-01 00:00:00.0;2020;40;Russia;null;null;null;Right;3;3;1;Medium/Medium;Normal (170-185);No;234000;null;null;69;50;48;63;27;48;56;48;46;53;52;65;47;39;39;63;70;68;59;40;66;60;57;44;55;43;31;23;50;40;61;37;20;31;22;6;7;10;5;5;null;54+1;54+1;54+1;56;54;54;54;56;53+1;53+1;53+1;55+1;47+1;47+1;47+1;55+1;43+1;38+1;38+1;38+1;43+1;41+1;36+1;36+1;36+1;41+1;10+1;https://cdn.sofifa.net/players/243/186/18_120.png
213314;/player/213314/seok-min-ham/200023;20;23;2020-01-24 00:00:00.0;Ham Seok Min;함석민 咸胜明;GK;64;67;425000;1000;25;1994-02-14 00:00:00.0;190;85;83;112115;Gangwon;GK;16;null;2018-01-05 00:00:00.0;2024;167;Korea Republic;null;null;null;Right;3;1;1;Medium/Medium;Normal (185+);No;563000;null;null;null;null;null;null;null;null;18;19;15;26;16;13;16;12;33;25;42;44;70;59;48;50;55;23;67;11;17;18;11;28;16;36;27;15;13;63;66;66;63;63;43;29+2;29+2;29+2;26;27;27;27;26;27+2;27+2;27+2;26+2;26+2;26+2;26+2;26+2;25+2;27+2;27+2;27+2;25+2;25+2;27+2;27+2;27+2;25+2;63+2;https://cdn.sofifa.net/players/213/314/20_120.png
225286;/player/225286/federico-maya/170086;17;86;2017-08-03 00:00:00.0;F. Maya;Federico Maya;LB;61;69;300000;2000;22;1993-10-06 00:00:00.0;175;70;353;111710;Defensa y Justicia;RES;41;null;2014-04-15 00:00:00.0;2023;52;Argentina;null;null;null;Left;3;2;1;Medium/Medium;Normal (170-185);No;null;null;Injury Prone;70;32;44;49;61;63;48;28;51;49;28;42;39;37;36;56;69;70;57;50;61;37;60;71;63;31;55;69;44;38;45;40;63;58;59;12;10;16;9;7;null;45+1;45+1;45+1;48;46;46;46;48;46+1;46+1;46+1;50+1;48+1;48+1;48+1;50+1;59+1;56+1;56+1;56+1;59+1;60+1;59+1;59+1;59+1;60+1;14+1;https://cdn.sofifa.net/players/225/286/17_120.png
165180;/player/165180/dorin-goian/160004;16;4;2015-10-02 00:00:00.0;D. Goian;Dorin Nicolae Goian;CB, LB;68;68;null;null;34;1980-12-12 00:00:00.0;194;83;null;null;null;null;null;null;null;null;39;Romania;1356;SUB;15;Right;3;2;1;Low/Medium;Normal (185+);No;null;null;null;61;50;52;56;70;72;41;42;71;61;36;59;54;45;60;58;59;62;48;63;31;61;44;61;80;62;72;72;31;41;57;null;69;70;63;12;16;11;10;13;null;55;55;55;52;53;53;53;52;53;53;53;53;57;57;57;53;61;65;65;65;61;63;68;68;68;63;18;https://cdn.sofifa.net/players/165/180/16_120.png
220776;/player/220776/emrah-krizevac/150048;15;48;2015-07-03 00:00:00.0;E. Krizevac;Emrah Krizevac;CB;53;59;35000;2000;18;1996-05-18 00:00:00.0;190;80;80;780;Ried;RES;3;null;2013-10-19 00:00:00.0;2015;4;Austria;null;null;null;Right;3;2;1;Medium/Medium;Lean (185+);No;null;null;null;39;24;27;34;53;66;24;20;61;30;25;31;28;24;23;30;33;43;44;49;48;31;33;55;79;24;54;49;29;27;25;null;54;51;56;6;6;10;12;12;null;35;35;35;31;32;32;32;31;31;31;31;32;34;34;34;32;43;43;43;43;43;48;53;53;53;48;11;https://cdn.sofifa.net/players/220/776/15_120.png
235249;/player/235249/igor-engonga-noval/170033;17;33;2017-01-30 00:00:00.0;Igor Engonga;Igor Engonga Noval;CB, CDM;63;71;425000;2000;21;1995-01-04 00:00:00.0;186;79;54;1861;Almería;RES;33;null;2016-07-17 00:00:00.0;2017;112;Equatorial Guinea;null;null;null;Right;3;2;1;Medium/Medium;Normal (185+);No;null;null;null;58;42;48;45;62;70;41;42;56;61;33;41;37;39;53;48;57;59;51;52;53;56;71;70;71;31;68;65;29;33;49;46;52;70;64;5;6;6;11;11;null;48+1;48+1;48+1;45;45;45;45;45;45+1;45+1;45+1;48+1;50+1;50+1;50+1;48+1;58+1;59+1;59+1;59+1;58+1;59+1;62+1;62+1;62+1;59+1;13+1;https://cdn.sofifa.net/players/235/249/17_120.png
190438;/player/190438/fredrik-semb-berge/210013;21;13;2020-11-20 00:00:00.0;F. Berge;Fredrik Semb Berge;CB;67;67;825000;2000;30;1990-02-06 00:00:00.0;189;82;41;1456;Odd;RES;3;null;2016-01-11 00:00:00.0;2020;36;Norway;null;null;null;Right;3;2;1;Medium/Medium;Normal (185+);No;1000000;null;Injury Prone, Power Header;42;43;51;37;66;72;29;26;66;61;37;24;34;62;61;55;37;46;32;60;47;78;80;54;82;52;68;67;35;47;32;59;65;68;65;12;8;9;10;10;null;49+2;49+2;49+2;41;45;45;45;41;46+2;46+2;46+2;43+2;53+2;53+2;53+2;43+2;55+2;63+2;63+2;63+2;55+2;57+2;67;67;67;57+2;15+2;https://cdn.sofifa.net/players/190/438/21_120.png
266090;/player/266090/oscar-halls/230008;23;8;2022-12-17 00:00:00.0;O. Halls;Oscar Halls;CB;50;64;100000;500;17;2004-11-15 00:00:00.0;188;75;60;1929;Plymouth Argyle;RES;43;null;2021-11-15 00:00:00.0;2023;14;England;null;null;null;Right;3;2;1;Medium/Medium;Normal (185+);No;238000;null;null;58;22;25;35;50;66;26;15;47;26;22;29;22;20;23;33;62;55;49;42;54;34;66;63;75;23;46;49;27;26;33;44;50;52;46;11;6;14;8;13;null;34+2;34+2;34+2;32;32;32;32;32;31+2;31+2;31+2;34+2;32+2;32+2;32+2;34+2;44+2;42+2;42+2;42+2;44+2;46+2;50+2;50+2;50+2;46+2;13+2;https://cdn.sofifa.net/players/266/090/23_120.png
230594;/player/230594/lynneeker-n-paes-de-albuquerque/160019;16;19;2016-01-07 00:00:00.0;Lynneeker;Lynneeker Nakamuta Paes de Albuquerque;CF;57;63;160000;2000;21;1994-01-11 00:00:00.0;171;72;308;1893;Marítimo;SUB;99;null;2015-07-07 00:00:00.0;2018;54;Brazil;null;null;null;Right;4;3;1;High/Low;Lean (170-185);No;null;null;null;67;60;48;67;22;50;41;63;55;51;60;74;57;42;44;55;68;67;67;51;79;59;56;51;56;57;32;12;41;52;67;null;20;22;15;6;12;13;5;14;null;57;57;57;58;57;57;57;58;56;56;56;56;49;49;49;56;40;36;36;36;40;37;33;33;33;37;14;https://cdn.sofifa.net/players/230/594/16_120.png
